,index,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,occupancy_rate,annual_rental_income,investment_score
0,1,27979,"Easy going landlord,easy place",120541,Emy,Bang Na,13.66818,100.61674,Private room,1316.0,1,0,0.0,2,358,0,0.019178082191780854,9212.000000000015,0.3105988726636381
1,2,28745,modern-style apartment in Bangkok,123784,Familyroom,Bang Kapi,13.75232,100.62402,Private room,800.0,60,0,0.0,1,365,0,0.0,0.0,0.2709741002626685
2,3,35780,Spacious one bedroom at The Kris Condo Bldg. 3,153730,Sirilak,Din Daeng,13.78823,100.57256,Private room,1286.0,7,2,0.03,1,323,1,0.1150684931506849,54011.99999999998,0.40780695945946244
3,4,941865,Suite Room 3 at MetroPoint,610315,Kasem,Bang Kapi,13.76872,100.63338,Private room,1905.0,1,0,0.0,3,365,0,0.0,0.0,0.2709741002626685
4,6,48736,Condo with Chaopraya River View,222005,Athitaya,Rat Burana,13.68556,100.49535,Private room,1558.0,3,1,0.01,1,365,0,0.0,0.0,0.13606282981322818
5,9,952677,Standard Room Decor do Hostel,5171292,Somsak,Khlong San,13.7204,100.50757,Private room,700.0,2,4,0.03,10,87,0,0.7616438356164383,194600.0,0.3659777409752933
6,10,55681,Sathorn Terrace Apartment(61),263049,Tor,Bang Rak,13.71934,100.5176,Private room,1150.0,2,27,0.19,7,320,0,0.12328767123287676,51750.00000000002,0.4183083796413036
7,15,62217,Luxury@swimpool/FreeWiFi/nearJJMkt,302658,Srisuk,Phaya Thai,13.79152,100.53982,Private room,4156.0,1,0,0.0,1,365,0,0.0,0.0,0.4288147642029191
8,20,960858,"New, Stylish & Luxury Studio Condo",3769704,Pat,Sai Mai,13.9077,100.64473,Private room,1500.0,1,0,0.0,1,365,0,0.0,0.0,0.12147281977264678
9,21,113744,River View - Ivy Condo (1 Bedroom),578110,Muay,Rat Burana,13.68568,100.49231,Private room,1385.0,30,0,0.0,1,365,0,0.0,0.0,0.13606282981322818
10,22,965722,Siamese Gioia on Sukhumvit 31,5265861,Chuchart,Vadhana,13.74444,100.57003,Private room,3775.0,30,3,0.05,1,364,0,0.002739726027397249,3774.999999999985,0.48270041526150653
11,27,121410,"MetroPoint Suite Room, Near Airport",610315,Kasem,Bang Kapi,13.76747,100.63287,Private room,1190.0,1,0,0.0,3,365,0,0.0,0.0,0.2709741002626685
12,28,145343,Boutique Rooms Near Bangkok Airport,703944,Parinya,Lat Krabang,13.721868,100.771713,Private room,1329.0,1,28,0.28,1,349,13,0.043835616438356206,21264.00000000002,0.4223855305909487
13,29,973830,BangLuang House1 @ Bangkok Thailand,5325919,วสวัตติ์,Bangkok Yai,13.73292,100.46413,Private room,2078.0,1,76,0.64,3,350,0,0.04109589041095896,31170.000000000044,0.22637781908066673
14,31,1823321,กรองทองแมนชั่น (ลาดพร้าว 81),9545111,Penjit,Wang Thong Lang,13.78938,100.6134,Private room,600.0,1,0,0.0,1,365,0,0.0,0.0,0.23114768485911438
15,36,169285,Stay at the ROARING RATCHADA!,806600,Frances,Huai Khwang,13.78118,100.58349,Private room,1316.0,1,0,0.0,1,365,0,0.0,0.0,0.4994247488471142
16,38,1842066,ICONSIAM River view  on 49th floor,9626074,Weera,Bang Rak,13.72287,100.51678,Private room,2500.0,180,15,0.14,1,88,0,0.7589041095890411,692500.0,0.4183083796413036
17,42,985743,Room with city view of BKK,5309669,Apiradee,Sathon,13.71803,100.54654,Private room,3500.0,3,0,0.0,3,363,0,0.005479452054794498,6999.999999999971,0.388707104105458
18,45,1016487,Private room in Bangkok,5594281,Yodying,Chatu Chak,13.82148,100.58326,Private room,350.0,30,0,0.0,1,365,0,0.0,0.0,0.3773556276912838
19,52,241416,Sukhumvit52 near SkyTrain to BkkCBD,960892,Vajirune,Phra Khanong,13.70169,100.5977,Private room,2251.0,3,0,0.0,1,365,0,0.0,0.0,0.34198416395463455
20,54,1028469,One Bedroom Suite- WIFI- SATHORN,2148220,Marvin,Sathon,13.71602,100.52663,Private room,2696.0,1,0,0.0,3,356,0,0.024657534246575352,24264.00000000001,0.388707104105458
21,55,1028486,STUDIO RM2 - WIFI- SATHORN,2148220,Marvin,Sathon,13.71798,100.52841,Private room,1736.0,1,4,0.04,3,356,0,0.024657534246575352,15624.000000000005,0.388707104105458
22,56,1035589,Quiet Double  Bed Apartment,4115838,Primrose,Thawi Watthana,13.79274,100.33377,Private room,1800.0,2,1,0.46,3,242,1,0.33698630136986296,221399.99999999997,0.19613667712853883
23,57,1035640,Quiet Double Bed Apartment,4115838,Primrose,Thawi Watthana,13.79315,100.33356,Private room,1800.0,2,0,0.0,3,256,0,0.29863013698630136,196199.99999999997,0.19613667712853883
24,60,1898332,"Apr. for rent full fur 1 bedroom, monthly",4837310,Veesa,Bang Na,13.67805,100.62451,Private room,400.0,180,0,0.0,1,364,0,0.002739726027397249,399.99999999999835,0.3105988726636381
25,62,313459,One Bed Room at Sukumvit 50 Bangkok,1611711,Nichapat,Khlong Toei,13.71513,100.5683,Private room,2226.0,1,0,0.0,1,364,0,0.002739726027397249,2225.999999999991,0.46137131030528616
26,68,1060320,Mix Dorm  Decor do Hostel,5171292,Somsak,Khlong San,13.72214,100.50752,Shared room,350.0,1,12,0.12,10,87,0,0.7616438356164383,97300.0,0.3659777409752933
27,70,1067748,5 mins by car from Chong Nonsi BTS Station,4154759,Mimi,Sathon,13.71498,100.53312,Private room,1543.0,1,40,0.46,4,149,10,0.5917808219178082,333288.0,0.388707104105458
28,74,385278,Nice River View Condominium 30 sq.m,1928343,Chanvit,Rat Burana,13.68426,100.49841,Private room,1558.0,1,0,0.0,1,365,0,0.0,0.0,0.13606282981322818
29,79,1086843,Near Bangkok more space than urban!,4937984,Sugarcane,Phra Nakhon,13.75135,100.49447,Shared room,5195.0,1,0,0.0,1,365,0,0.0,0.0,0.5603982406521189
30,81,397449,Cozy Studio Apt near Skytrain.(72/74),263049,Tor,Sathon,13.71782,100.51622,Private room,950.0,1,39,0.3,7,301,2,0.1753424657534246,60799.999999999985,0.388707104105458
31,85,1961981,S1 hostel (Dorm) Sathorn Bangkok,10138065,S1,Sathon,13.72157,100.54509,Shared room,330.0,1,82,0.83,3,358,0,0.019178082191780854,2310.0000000000036,0.388707104105458
32,88,1133843,เฮ้าส์โหมด House Mode,6220137,Prapussorn,Thon buri,13.72646255738608,100.49129336748284,Private room,800.0,1,0,0.0,1,365,0,0.0,0.0,0.5283619416135569
33,97,432004,STUDIO-WIFI-RAIN SHOWER-SATHORN,2148220,Marvin,Sathon,13.71922,100.5255,Private room,1736.0,1,14,0.12,3,356,0,0.024657534246575352,15624.000000000005,0.388707104105458
34,100,1976962,River Side Luxury View,10204823,Jahidul,Yan na wa,13.70497,100.55134,Private room,2500.0,1,0,0.0,1,364,0,0.002739726027397249,2499.99999999999,0.3863876864123612
35,108,2018775,Big quiet Studio for weekly monthly long term Stay,7454779,Lily Duangdao,Sathon,13.720317,100.54586,Private room,1629.0,4,4,0.7,7,82,4,0.7753424657534247,461007.0,0.388707104105458
36,109,2064413,BH : Double Room - Near BTS,8664261,Kriengkrai,Sathon,13.71659,100.51588,Private room,835.0,1,0,0.0,7,365,0,0.0,0.0,0.388707104105458
37,110,2065054,Suite with Balcony,8664261,Kriengkrai,Sathon,13.71655,100.51384,Private room,926.0,1,1,0.02,7,365,0,0.0,0.0,0.388707104105458
38,111,2065536,Room + Shared Shower Room near BTS,8664261,Kriengkrai,Sathon,13.71496,100.51406,Private room,866.0,1,0,0.0,7,365,0,0.0,0.0,0.388707104105458
39,112,2065699,BANGKOK HUB Studio Room+Shower Room,8664261,Kriengkrai,Sathon,13.718,100.51573,Private room,650.0,1,0,0.0,7,365,0,0.0,0.0,0.388707104105458
